site,gopher,field_id,percent_comp,family,genus,species,common,date,Notes,Invasive
AWA1_1,0,Rubus,1,Rosaceae,Rubus ,cuneifolius,Sand Blackberry,24-Mar-18,,N
AWA1_1,0,Wiregrass,49,Poaceae,Aristida ,stricta,Wiregrass,24-Mar-18,,N
AWA1_1,0,Huckleberry,20,Ericaceae,Vaccinium ,darrowii,Darrow's blueberry,24-Mar-18,,N
AWA1_1,0,Silkgrass aster,1,Asteraceae,Pityopsis ,aspera,Pineland silkgrass,24-Mar-18,,N
AWA1_1,0,Fat trifoliate,1,Fabaceae,Desmodium ,lineatum,Desmodium,24-Mar-18,,N
AWA1_1,0,Heart cordate,1,Violaceae,Viola,,Violet,24-Mar-18,,
AWA1_1,0,Splitleaf heart,1,Violaceae,Viola,palmata,Violet,24-Mar-18,,N
AWA1_1,0,Andropogon,20,Poaceae,Andropogon ,,Broomsedge/Bluestem,24-Mar-18,,
AWA1_1,0,Alternate,1,Euphorbiaceae,Euphorbia ,pubentissima,False flowering spurge,24-Mar-18,,N
AWA1_1,0,Panicum,10,Poaceae,Dichanthelium ,,Dicanthelium,24-Mar-18,,
AWA1_2,0,Wiregrass,50,Poaceae,Aristida ,stricta,Wiregrass,24-Mar-18,,N
AWA1_2,0,Huckleberry,1,Ericaceae,Vaccinium ,darrowii,Darrow's blueberry,24-Mar-18,,N
AWA1_2,0,Alternate,1,Euphorbiaceae,Euphorbia ,pubentissima,False flowering spurge,24-Mar-18,,N
AWA1_2,0,Rubus,1,Rosaceae,Rubus ,cuneifolius,Sand Blackberry,24-Mar-18,,N
AWA1_2,0,Low Panicum 2,1,Poaceae,Dichanthelium, dichotomum,Cypress Panic Grass,24-Mar-18,,N
AWA1_2,0,Granny,1,Asteraceae,Chrysopsis ,gossypinus,Goldenaster,24-Mar-18,,N
AWA1_2,0,Boring Berry,1,Ericaceae,Gaylussacia ,dumosa,Dwarf Huckleberry,24-Mar-18,,N
AWA1_2,0,Furry alternate,1,Asteraceae,Vernonia ,angustifolia,tall ironweed,24-Mar-18,,N
AWA1_2,0,Andropogon,49,Poaceae,Andropogon ,,broomsedge/bluestem,24-Mar-18,,
AWA1_3,0,Huckleberry,2,Ericaceae,Vaccinium ,darrowii,Darrow's blueberry,24-Mar-18,,N
AWA1_3,0,Boring Berry,1,Ericaceae,Gaylussacia ,dumosa,dwarf huckleberry,24-Mar-18,,N
AWA1_3,0,Wiregrass,90,Poaceae,Aristida ,stricta,wiregrass,24-Mar-18,,N
AWA1_3,0,Panicum,3,Poaceae,Dichanthelium ,,Dicanthelium,24-Mar-18,,
AWA1_3,0,Furry Alternate,1,Asteraceae,Vernonia ,angustifolia,tall ironweed,24-Mar-18,,N
AWA1_3,0,Alternate,1,Euphorbiaceae,Euphorbia ,pubentissima,false flowering spurge,24-Mar-18,,N
AWA1_3,0,Fat Trifoliate,1,Fabaceae,Desmodium ,lineatum,Desmodium,24-Mar-18,,N
AWA1_3,0,Clever ,1,Rubiaceae,Galium ,pilosum,Cleaver,24-Mar-18,,N
AWA1_3,0,Silkgrass,3,Asteraceae,Pityopsis ,aspera,Pineland silkgrass,24-Mar-18,,N
AWA1_4,0,Wiregrass,30,Poaceae,Aristida ,stricta,wiregrass,24-Mar-18,,N
AWA1_4,0,Huckleberry,20,Ericaceae,Vaccinium ,darrowii,Darrow's blueberry,24-Mar-18,,N
AWA1_4,0,Panicum,1,Poaceae,Dichanthelium ,,Dicanthelium,24-Mar-18,,
AWA1_4,0,Silkgrass,5,Asteraceae,Pityopsis ,aspera,Pineland silkgrass,24-Mar-18,,N
AWA1_4,0,Rubus,1,Rosaceae,Rubus ,cuneifolius,sand blackberry,24-Mar-18,,N
AWA1_4,0,Andropogon,40,Poaceae,Andropogon ,,broomsedge/bluestem,24-Mar-18,,
AWA1_4,0,Subaxe,1,Asteraceae,Symphyotrichum ,adnatum,clasping aster/scaleleaf aster,24-Mar-18,,N
AWA1_4,0,Granny,1,Asteraceae,Chrysopsis ,gossypinus,goldenaster,24-Mar-18,,N
AWA1_4,0,Cherry?,1,Cornaceae,Nyssa ,,blackgum/tupelo,24-Mar-18,,
AWA1_4,0,Pink Stem Whorl,1,Acanthaceae,Dyschoriste ,oblongifolia,oblong snakeherb/twinflower,24-Mar-18,,N
AWA1_5,0,Huckleberry,15,Ericaceae,Vaccinium ,darrowii,Darrow's blueberry,24-Mar-18,,N
AWA1_5,0,Panicum,15,Poaceae,Dichanthelium ,,Dicanthelium,24-Mar-18,,
AWA1_5,0,Rubus,1,Rosaceae,Rubus ,cuneifolius,sand blackberry,24-Mar-18,,N
AWA1_5,0,Wiregrass,20,Poaceae,Aristida ,stricta,wiregrass,24-Mar-18,,N
AWA1_5,0,Pink Stem Whorl,1,Acanthaceae,Dyschoriste ,oblongifolia,oblong snakeherb/twinflower,24-Mar-18,,N
AWA1_5,0,Alternate,1,Euphorbiaceae,Euphorbia ,pubentissima,false flowering spurge,24-Mar-18,,N
AWA1_5,0,Andropogon,49,Poaceae,Andropogon ,,broomsedge/bluestem,24-Mar-18,,
AWA1_6,0,Huckleberry,5,Ericaceae,Vaccinium ,darrowii,Darrow's blueberry,24-Mar-18,,N
AWA1_6,0,Wiregrass,10,Poaceae,Aristida ,stricta,wiregrass,24-Mar-18,,N
AWA1_6,0,Smilax,2,Smilacaceae,Smilax ,bona-nox,bona-nox catbrier,24-Mar-18,,N
AWA1_6,0,Fat Trifoliolate,1,Fabaceae,Desmodium ,lineatum,Desmodium,24-Mar-18,,N
AWA1_6,0,Fuzzy Alternate,1,Asteraceae,Vernonia ,angustifolia,tall ironweed,24-Mar-18,,N
AWA1_6,0,Butterfly Pea,1,Fabaceae,Desmodium,lineatum,Desmodium,24-Mar-18,,N
AWA1_6,0,Panicum 2,1,Poaceae,Dichanthelium, dichotomum,cypress panic grass,24-Mar-18,,N
AWA1_6,0,Cherry?,1,Cornaceae,Nyssa ,,blackgum/tupelo,24-Mar-18,,
AWA1_6,0,Pine Litter,78,Pinaceae,Pinus ,palustris,longleaf pine,24-Mar-18,,N
AWA1_7,0,Wiregrass,45,Poaceae,Aristida ,stricta,wiregrass,24-Mar-18,,N
AWA1_7,0,Runner Oak,10,Fagaceae,Quercus ,virginiana,Live oak,24-Mar-18,,N
AWA1_7,0,Rubus,1,Rosaceae,Rubus ,cuneifolius,sand blackberry,24-Mar-18,,N
AWA1_7,0,Huckleberry,5,Ericaceae,Vaccinium ,darrowii,Darrow's blueberry,24-Mar-18,,N
